,name,co_type,co_hq,No_employee,ratings,reviews,year_old
0,TCS,Public,"Mumbai,Maharashtra + 258 more",1 Lakh+ Employees (India),3.9,44.4k,54 years old
1,Accenture,Public,Dublin + 140 more,1 Lakh+ Employees (India),4.2,30.1k,33 years old
2,Cognizant,Private,Teaneck. New Jersey. + 89 more,1 Lakh+ Employees (India),4.0,27.2k,28 years old
3,ICICI Bank,Public,"Mumbai,Maharashtra + 1025 more",1 Lakh+ Employees (India),4.0,32.7k,28 years old
4,HDFC Bank,Public,"Mumbai,Maharashtra + 1170 more",1 Lakh+ Employees (India),4.0,36.7k,28 years old
5,Infosys,Public,"Bengaluru/Bangalore,Karnataka + 121 more",1 Lakh+ Employees (India),4.0,26k,41 years old
6,Wipro,Public,"Bangalore/Bengaluru,Karnataka + 223 more",1 Lakh+ Employees (India),3.9,26k,77 years old
7,Capgemini,Public,Paris + 75 more,1 Lakh+ Employees (India),3.9,22.1k,55 years old
8,Tech Mahindra,Public,"Pune,Maharashtra + 202 more",50k-1 Lakh Employees (India),3.8,20.1k,36 years old
9,Genpact,Public,"New York,New York + 62 more",50k-1 Lakh Employees (India),4.0,19.7k,25 years old
10,HCL Technologies,Public,"Noida,Uttar Pradesh + 135 more",1 Lakh+ Employees (India),3.9,16.7k,31 years old
11,Axis Bank,Public,"Mumbai,Maharashtra + 1029 more",1 Lakh+ Employees (India),3.9,17.8k,29 years old
12,Amazon,Public,"Seattle,Washington + 339 more",1 Lakh+ Employees (India),4.2,16k,28 years old
13,IBM,Public,"Armonk,New York + 116 more",1 Lakh+ Employees (India),4.2,19.6k,111 years old
14,Concentrix Corpo...,Public,"Fremont,California + 66 more",10k-50k Employees (India),4.1,14.4k,39 years old
15,Larsen & Toubro ...,Public,"Mumbai,Maharashtra + 517 more",10k-50k Employees (India),4.1,23.3k,84 years old
16,Reliance jio,Public,"Navi Mumbai,Maharashtra + 933 more",50k-1 Lakh Employees (India),4.0,13.8k,15 years old
17,Vodafone Idea,Public,"Gandhinagar,Gujrat + 557 more",10k-50k Employees (India),4.3,13.5k,4 years old
